source,target
From Hongqiao airport to home by taxi,从虹桥机场打车回家
From Hongqiao station to home by taxi,从虹桥站打车回家
From Hongqiao to Home by taxi,从虹桥回家，打车
From Hongqiao to home by taxi,从虹桥回家打车
From Hotel  to Changshu train station by Taxi with Sam,和Sam一起从酒店打车到常熟火车站
From Hotel to Changshu Railway Station by Taxi with Christy & Stacey,与Christy和Stacey一起乘坐出租车从酒店到常熟火车站
From Hotel to Changshu Station by Taxi with Serena,和Serena乘出租车从酒店到常熟站
From Hotel to Changshu train station by taxi with Gavin,和加文一起打车从酒店到常熟火车站
From Hotel to Changshu train station by taxi with William,和威廉一起乘坐出租车从酒店到常熟火车站
"From Hotel to Train station by Taxi together with Jim, Frank",和Jim、Frank一起乘坐出租车从酒店到火车站
From Hyatt to Changshu Railway Station by taxi with Chloe and Selena,和Chloe、Selena一起乘出租车从凯悦酒店到常熟火车站
From International  sourcing center to home by Taxi,从国际采购中心乘坐出租车回家
From International Procurement Expo Center to home by taxi (ALL IN HR Expo),从国际采购博览会中心乘出租车回家（ALL IN HR博览会）
From International sourcing center to home by Taxi,从国际采购中心乘出租车回家
From JW Marriott to home for attending AmCham HR conference by Taxi,乘出租车从JW万豪酒店回家参加美国商会人力资源会议
From Kangqiao station to home by taxi (training),从康桥站乘出租车回家(练习)
From Lingshi Road to Taopu  by Taxi,从灵石路到桃浦打车
From Mark's Car to Home by Taxi,从马克的车坐出租车回家
From Ningbo to Shanghai (Toll fee),宁波到上海(过路费)
From Ningbo to Taizhou (Toll fee),宁波到台州(过路费)
From Pudong airport to home by taxi,从浦东机场乘出租车回家
From SH Railway Station to home by taxi (In-house training in Changshu),从上海火车站坐出租车回家常熟内部培训
From Sanlin to home by Taxi,三林打车回家
From Sanlinnan station home by taxi,从三林南站打车回家
From Sanlinnan station home by taxi(Thailand trip for Midea Refrigeration Equipment FV),从三林南站乘出租车回家（美的制冷设备FV泰国之旅）
From Shanghai Hongqiao to home by taxi,从上海虹桥打车回家
From Shanghai Railway Station Home by Taxi,从上海火车站打车回家
From Shanghai Station to home by Taxi with Lottie,从上海火车站乘出租车带Lottie回家
From Shanghai railway station to home by Taxi,上海火车站打车回家
From Shanghai to Changshu by Train,从上海到常熟乘火车
From Shanghai to Changzhou (Toll fee),上海到常州(过路费)
From Shanghai to Ningbo (Toll fee),上海到宁波(过路费)
From Shanghai to Taicang (Parking fee),从上海到太仓(停车费)
From Shanghai to Taicang (Toll fee),上海至太仓(过路费)
From Sowa factory to Guangzhou baiyun airport by taxi,从Sowa工厂乘坐出租车到广州白云机场
From Sowa factory to hotel by taxi,从Sowa工厂乘坐出租车到酒店
From Taicang to Shanghai (Toll fee),从太仓到上海（过路费）
From Taizhou to Ningbo (Toll fee),从台州到宁波(过路费)
From Taopu to Lingshi Road by Taxi,乘出租车从桃浦到灵石路
From Train station to Hotel by Taxi together with Devin,和Devin一起乘出租车从火车站到酒店
From airport to Sanlinnan by Metro(Thailand trip for Midea Refrigeration Equipment FV),从机场到三林南乘坐地铁(美的制冷设备FV泰国之旅)
From airport to home by taxi,打车从机场回家
From factory to Qingdao Airport by Taxi,从工厂到青岛机场乘出租车
From home to HQ airport by Taxi,从家到总部机场乘坐出租车
From home to Hangzhou Promax for PSI go and back (Toll fee),家到杭州Promax为PSI往返的过路费
From home to Hongqiao airport by taxi,从家到虹桥机场坐出租车
From home to International Procurement Expo center by taxi (ALL IN HR Expo),乘出租车从家到国际采购博览中心（ALL IN HR博览会）
From home to International Procurement Expo center by taxi(ALL IN HR Expo),从家乘出租车到国际采购博览中心(ALL IN HR Expo)
From home to International sourcing center for attending HREC HR Services Expo by Taxi,乘坐出租车从家前往国际采购中心参加HREC人力资源服务博览会
From home to International sourcing enter,从国内采购到国际采购
From home to JW Marriott Tomorrow Square by taxi (AmCham HR Conference),从家乘坐出租车到JW Marriott明天广场（美国商会人力资源会议）
From home to Jiaxing Go shen with Jacky for PSI go and back (Toll fee),从家与Jacky一起到嘉兴歌神参加PSI往返(过路费)
From home to Ningbo Shining and back (Toll fee),从家到宁波Shining往返(过路费)
From home to Taicang Fullway+ Jiaxing Weiyue for PSI go and back (Toll fee),家往返太仓Fullway+和嘉兴伟越PSI（含过路费）
From home to Wanxiangcheng by taxi,从家到万象城打车
From home to Yangzhou Shaofeng and back (Toll fee),从家到扬州邵峰往返(过路费)
From home to airport by taxi,从家打车到机场
From home to airport by taxi(Thailand trip for Midea Refrigeration Equipment FV),乘出租车从家到机场（美的制冷设备FV泰国之旅）
From home to meeting point by Taxi,从家到集合点打车
From home to metro by taxi,打车从家到地铁站
From home to nearby metro station by Taxi,从家打车到附近的地铁站
From home to the closest subway station by taxi,从家到最近的地铁站打车
From hotel to Changshu Railway station by taxi with Claire,和克莱尔一起从酒店乘出租车到常熟火车站
From hotel to Changshu Station by taxi,从酒店乘坐出租车到常熟站
From hotel to Changshu Station by taxi with Frieda,和Frieda一起乘出租车从酒店到常熟站
From hotel to Changshu station by taxi with Nick Li,和Nick Li一起从酒店乘出租车到常熟站
From meeting point to home by Taxi,从会合点打车回家
From shanghai to Changshu by train,从上海到常熟乘火车
Fruit for the 5th anniversary of FuelPro System,FuelPro系统5周年成果
Gift card for Mid-autumn festival(associates allowance),中秋节员工礼品卡
Handover and initial setup of local PRC accounting system,本地中国会计系统交接与初始设置
Hypochlorous acid disinfectant for office using,办公室次氯酸消毒剂
Import clearance fee for Aug.2025,2025年8月进口清关费
Interest,兴趣
International courier fee for Aug. 2025,2025年8月国际快递费
Internet fee (39644) for Aug.2025,2025年8月网络费用(39644)
Keyboard & mouse for Stacey Xu,许思思的键盘和鼠标
Local and domestic courier fee for Aug.2025,2025年8月本地及国内快递费用
Lodging for domestic travel for Aug.2025,2025年8月国内旅游住宿
Lodging for international travel for Aug.2025(Thailand),2025年8月泰国旅行住宿
Lunch,午餐
Lunch at Ningbo with Mark,与马克在宁波共进午餐
Lunch with Charlie (QA) and Jim(QC),与Charlie(QA)和Jim(QC)共进午餐
Lunch with Claire,与克莱尔共进午餐
Lunch with Claire(BMOO)/Sam(DM)/Lottie(OA) for Lottie's work anniversary,与Claire(BMOO)/Sam(DM)/Lottie(OA)共进午餐，庆祝Lottie的工作周年
Lunch with Frank (QC),与Frank(质控)共进午餐
Lunch with Lorraine(ASM)(Thailand trip for Midea Refrigeration Equipment FV),与Lorraine(ASM)共进午餐(美的制冷设备FV泰国之行)
Lunch with Richie for Richie's 14th work anniversary,与Richie共进午餐庆祝其工作14周年
"Lunch with William (LSM), Carol (ASM), Devin (ASM) for Carol and Devin's work anniversary",与威廉(LSM)、卡罗尔(ASM)和德文(ASM)共进午餐，庆祝卡罗尔和德文的工作周年纪念
"Lunch with supplier YTY (supplier 2 person, Edward-GM, total 4 person)",与YTY供应商共进午餐（供应商2人，Edward-总经理，共计4人）
Lunch(Thailand trip for Midea Refrigeration Equipment FV),美的制冷设备FV泰国之旅午餐
Maintenance fee for Aug. 2025,2025年8月维护费
Mask for office using,办公用口罩
Meal Coupon for Changshu in-house Training(case sharing),常熟内部培训餐券(案例分享)
Meal Coupon for in-house training(case sharing),内部培训餐券（案例分享）
Meal coupon for in-house training(Case sharing),内部培训餐券（案例分享）
Meal coupon(Frieda & William) for in-house training (case sharing),内部培训案例分享餐券(Frieda & William)
Mileage allowance fee from Home to Ningbo Jinding (Gasoline Invoice),从家到宁波金顶的里程补贴费(汽油发票)
Mileage allowance fee from Home to Suzhou Howell (Gasoline Invoice),家至苏州Howell里程补贴（汽油发票）
Mileage allowance fee from Ningbo Shining and back (Gasoline/Parking Invoice),宁波往返里程津贴费用（汽油/停车发票）
Mileage allowance fee from Shanghai to Changzhou and back to Shanghai (Gasoline/Parking Invoice),上海至常州往返里程补贴费用（汽油/停车发票）
Mileage allowance fee from Shanghai to Ningbo & Taizhou and back (Gasoline/Parking Invoice),上海至宁波、台州往返里程补贴费（汽油/停车发票）
Mileage allowance fee from Shanghai to Taicang and back (Gasoline/Parking Invoice),上海至太仓往返里程补贴费（汽油/停车发票）
Mileage allowance fee from home to Hangzhou Promax for PSI go and back (Gasoline/Parking Invoice),从家到杭州Promax的PSI往返里程补贴费（汽油/停车发票）
Mileage allowance fee from home to Jiaxing Go shen with Jacky for PSI go and back (Gasoline/Parking Invoice),家到嘉兴PSI项目往返里程津贴（汽油/停车发票）
Mileage allowance fee from home to Taicang Fullway+ Jiaxing Weiyue for PSI go and back (Gasoline/Parking Invoice),家至太仓Fullway+嘉兴卫悦PSI往返里程补贴（汽油/停车发票）
Mileage allowance fee from home to Yangzhou Shaofeng and back (Gasoline/Parking Invoice),家到扬州邵峰往返里程补贴费（汽油/停车发票）
Milk for making coffee,做咖啡的牛奶
Mobile fee for Aug. to Sep.,8月至9月的手机费用
Mobile fee for Sep.,九月话费
Mobile fee for Sept.,九月话费
Monthly bookkeeping and VAT services for Aug.2025,2025年8月月度记账及增值税服务
Office cleaning fee for Sept 2025,2025年9月办公室清洁费
Office rental for Rm1503b-Rm1507 for Sept.2025,2025年9月Rm1503b至Rm1507办公室租赁
Office stationary,办公文具
One-off service fee for warehousing financial documents,金融文件仓储一次性服务费
Overtime meal (Work until 20:15/Dinner myself),加班餐(工作至20:15/自用晚餐)
PC for Stacey Xu,Stacey Xu的电脑
PRI Link (4000.00) and DID number. (2600.00) for Aug. telephone calling (758.89) for Aug. (actual occurred in Jul.),八月PRI线路连接费(4000.00)和DID号码费(2600.00)，八月电话通话费(758.89)(实际发生在七月)
Personality assessment(OPQ Profile & UCR) for Stacey Xu,Stacey Xu(许思思)的性格评估(OPQ档案及UCR)
Plant maintenance fee for Sept. 2025,2025年9月工厂维护费
Property management fee for Rm1503b-Rm1507 for Sept.2025,2025年9月1503b-1507号房间物业管理费
Recruitiment fee for ASM replacement - Stacey Xu,ASM替换招聘费 - 徐茜西
Rooftop lamp for conference room using,会议室屋顶灯
Salary payment for Sept.2025,2025年9月薪资支付
Snacks for team sports,团队运动零食
Taxi fee for AmCham event,美国商会活动交通费
Tea bags,茶包
"Team lunch and Welcome lunch with Stacey (SA), William(LSM), April(SM), Selena(ASM), Devin (ASM), Frieda (SA)",与Stacey(SA)、William(LSM)、April(SM)、Selena(ASM)、Devin(ASM)、Frieda(SA)的团队午餐和欢迎午餐
Testing fee for tensile,拉伸测试费
Train tickets for domestic travel for Aug.2025,2025年8月国内火车票
Two days in-house training for Cross functional communication course for APO all associates for FY'25,2025财年APO全体员工跨职能沟通课程内部培训（两天）
USD271290 converted to RMB (exchange rate:7.1098),271290美元按汇率7.1098折合人民币
Utility fees/24hrs air conditioning fee for Rm1503b-Rm1507 for Sept.2025,2025年9月Rm1503b-Rm1507房间的24小时空调费用/公用事业费
VAT,增值税
VAT and local levy for Aug. 2025,2025年8月增值税及地方税
Water absorbent mat for water dispenser using,饮水机吸水垫
Water for coffee machine using,咖啡机用水
Water for conference room using,会议室用水
Water tickets,水票
Dinner with Edward GM / Jacky LQM / Mark QM / Paul QA / Richie QM / Nick Wang ASM / Nick Li QA / Charlie QM / Jim QC,与Edward总经理/Jacky生产线经理/Mark质量经理/Paul质量保证/Richie质量经理/Nick Wang助理销售经理/Nick Li质量保证/Charlie质量经理/Jim质量控制共进晚餐
From Hongqiao station to Sanlinnan by metro,从虹桥站到三林南乘坐地铁
付凌晨9月份工资,Pay the September salary
付周瑶蓓9月份工资,Pay Zhou Yaobei's September salary
付朱美玲9月份工资,Pay Zhu Meiling's September salary
付胡振寅9月份工资,Pay Hu Zhenyin's September salary
付莫丹娜9月份工资,Fay Modonna's September salary
付陆炳英9月份工资,Pay Luobingying's September salary
付黄超宇9月份工资,Pay Huang Chaoyu's September salary
福利费,Welfare expenses
无线网卡,Wireless网卡
加班打车&团建费,Overtime taxi & team-building expenses
出差打车,Take a taxi for business trip
出差10天,10-day business trip
北京-团建费,Beijing team-building fee
唐总出差费&招待费&团建费,"Mr. Tang's business expenses, entertainment expenses, and team-building expenses"
北京-电视机&招聘费&布线费,Beijing-TVs & Recruitment Fees & Wiring Costs
快递费&福利费,Shipping & benefit costs
出差7天,Business trip for 7 days
出差0天,0 business trips
北京-加班打车,Beijing overtime taxi
打车去苏州办公室往返,Take a taxi to and from the Suzhou office
IT建设,IT construction
出差24天,24-day business trip
加班打车&招待费,Overtime taxi & entertainment expenses
公出打车&招待费&宽带费,Official travel taxi & entertainment expenses & broadband fees
中国出差,Business trip to China
招待费,entertainment expenses
中秋节客户礼品,Mid-Autumn Festival customer gifts
招待费&交通费&快递费,Entertainment & transportation & express shipping costs
出差9天,9 days of business trip
快递费&招待费&宽带费,Express fee & hospitality fee & broadband fee
准备杭州展会引流物料IP定制冰箱贴报销,Preparation of Hangzhou Exhibition Traffic Generation Material IP Customized Refrigerator Magnet Reimbursement
公出打车&招待费,Official travel taxi & entertainment expenses
加班打车费,Overtime taxi fare
聚餐打车费,Dinner taxi fare
出差11天,Business trip for 11 days
展会物料,Exhibition materials
出差交通费,Business travel expenses
